League,Season,Team,Team_Short,Matches,Points,Won,Lost,Draw,Goals,Opponent_Goals,GoalDiff
1. Bundesliga,2004/2005,FC Bayern München,Bayern,34,77,24,5,5,75,33,42
1. Bundesliga,2004/2005,FC Schalke 04,Schalke,34,63,20,11,3,56,46,10
1. Bundesliga,2004/2005,Werder Bremen,Bremen,34,59,18,11,5,68,37,31
1. Bundesliga,2004/2005,Hertha BSC,Hertha,34,58,15,6,13,59,31,28
1. Bundesliga,2004/2005,VfB Stuttgart,Stuttgart,34,58,17,10,7,54,40,14
1. Bundesliga,2004/2005,Bayer Leverkusen,Leverkusen,34,57,16,9,9,65,44,21
1. Bundesliga,2004/2005,Borussia Dortmund,Dortmund,34,55,15,9,10,47,44,3
1. Bundesliga,2004/2005,Hamburger SV,HSV,34,51,16,15,3,55,50,5
1. Bundesliga,2004/2005,VfL Wolfsburg,Wolfsburg,34,48,15,16,3,49,51,-2
1. Bundesliga,2004/2005,Hannover 96,Hannover,34,45,13,15,6,34,36,-2
1. Bundesliga,2004/2005,1. FSV Mainz 05,Mainz,34,43,12,15,7,50,55,-5
1. Bundesliga,2004/2005,1. FC Kaiserslautern,Kaiserslautern,34,42,12,16,6,43,52,-9
1. Bundesliga,2004/2005,Arminia Bielefeld,Bielefeld,34,40,11,16,7,37,49,-12
1. Bundesliga,2004/2005,1. FC Nürnberg,Nürnberg,34,38,10,16,8,55,63,-8
1. Bundesliga,2004/2005,Borussia Mönchengladbach,Gladbach,34,36,8,14,12,35,51,-16
1. Bundesliga,2004/2005,VfL Bochum,Bochum,34,35,9,17,8,47,68,-21
1. Bundesliga,2004/2005,FC Hansa Rostock,Rostock,34,30,7,18,9,31,65,-34
1. Bundesliga,2004/2005,SC Freiburg,Freiburg,34,18,3,22,9,30,75,-45
1. Bundesliga,2005/2006,FC Bayern München,Bayern,34,75,22,3,9,67,32,35
1. Bundesliga,2005/2006,Werder Bremen,Bremen,34,70,21,6,7,79,37,42
1. Bundesliga,2005/2006,Hamburger SV,HSV,34,68,21,8,5,53,30,23
1. Bundesliga,2005/2006,FC Schalke 04,Schalke,34,61,16,5,13,47,31,16
1. Bundesliga,2005/2006,Bayer Leverkusen,Leverkusen,34,52,14,10,10,64,49,15
1. Bundesliga,2005/2006,Hertha BSC,Hertha,34,48,12,10,12,52,48,4
1. Bundesliga,2005/2006,Borussia Dortmund,Dortmund,34,46,11,10,13,45,42,3
1. Bundesliga,2005/2006,1. FC Nürnberg,Nürnberg,34,44,12,14,8,49,51,-2
1. Bundesliga,2005/2006,VfB Stuttgart,Stuttgart,34,43,9,9,16,37,39,-2
1. Bundesliga,2005/2006,Borussia Mönchengladbach,Gladbach,34,42,10,12,12,42,50,-8
1. Bundesliga,2005/2006,1. FSV Mainz 05,Mainz,34,38,9,14,11,46,47,-1
1. Bundesliga,2005/2006,Hannover 96,Hannover,34,38,7,10,17,43,47,-4
1. Bundesliga,2005/2006,Arminia Bielefeld,Bielefeld,34,37,10,17,7,32,47,-15
1. Bundesliga,2005/2006,Eintracht Frankfurt,Frankfurt,34,36,9,16,9,42,51,-9
1. Bundesliga,2005/2006,VfL Wolfsburg,Wolfsburg,34,34,7,14,13,33,55,-22
1. Bundesliga,2005/2006,1. FC Kaiserslautern,Kaiserslautern,34,33,8,17,9,47,71,-24
1. Bundesliga,2005/2006,1. FC Köln,Köln,34,30,7,18,9,49,71,-22
1. Bundesliga,2005/2006,MSV Duisburg,Duisburg,34,27,5,17,12,34,63,-29
1. Bundesliga,2006/2007,VfB Stuttgart,Stuttgart,34,70,21,6,7,61,37,24
1. Bundesliga,2006/2007,FC Schalke 04,Schalke,34,68,21,8,5,53,32,21
1. Bundesliga,2006/2007,Werder Bremen,Bremen,34,66,20,8,6,76,40,36
1. Bundesliga,2006/2007,FC Bayern München,Bayern,34,60,18,10,6,55,40,15
1. Bundesliga,2006/2007,Bayer Leverkusen,Leverkusen,34,51,15,13,6,54,49,5
1. Bundesliga,2006/2007,1. FC Nürnberg,Nürnberg,34,48,11,8,15,43,32,11
1. Bundesliga,2006/2007,Hamburger SV,HSV,34,45,10,9,15,43,37,6
1. Bundesliga,2006/2007,VfL Bochum,Bochum,34,45,13,15,6,49,50,-1
1. Bundesliga,2006/2007,Borussia Dortmund,Dortmund,34,44,12,14,8,41,43,-2
1. Bundesliga,2006/2007,Hertha BSC,Hertha,34,44,12,14,8,50,55,-5
1. Bundesliga,2006/2007,Hannover 96,Hannover,34,44,12,14,8,41,50,-9
1. Bundesliga,2006/2007,Arminia Bielefeld,Bielefeld,34,42,11,14,9,47,49,-2
1. Bundesliga,2006/2007,FC Energie Cottbus,Cottbus,34,41,11,15,8,38,49,-11
1. Bundesliga,2006/2007,Eintracht Frankfurt,Frankfurt,34,40,9,12,13,46,58,-12
1. Bundesliga,2006/2007,VfL Wolfsburg,Wolfsburg,34,37,8,13,13,37,45,-8
1. Bundesliga,2006/2007,1. FSV Mainz 05,Mainz,34,34,8,16,10,34,57,-23
1. Bundesliga,2006/2007,Alemannia Aachen,Aachen,34,34,9,18,7,46,70,-24
1. Bundesliga,2006/2007,Borussia Mönchengladbach,Gladbach,34,26,6,20,8,23,44,-21
1. Bundesliga,2007/2008,FC Bayern München,Bayern,34,76,22,2,10,68,21,47
1. Bundesliga,2007/2008,Werder Bremen,Bremen,34,66,20,8,6,75,45,30
1. Bundesliga,2007/2008,FC Schalke 04,Schalke,34,64,18,6,10,55,32,23
1. Bundesliga,2007/2008,Hamburger SV,HSV,34,54,14,8,12,47,26,21
1. Bundesliga,2007/2008,VfL Wolfsburg,Wolfsburg,34,54,15,10,9,58,46,12
