League,Season,Match_Day,Team,Player_Firstname,Player_Surname,Match_Minute,Game_Score,is_Penalty,is_Own_Goal,is_Overtime
1. Bundesliga,2009/2010,1. Spieltag,VfL Wolfsburg,,Misimovic,71,1:0,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,VfL Wolfsburg,,Grafite,82,2:0,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Borussia Dortmund,,Matip,75,1:0,False,True,False
1. Bundesliga,2009/2010,1. Spieltag,FC Schalke 04,,Kuranyi,36,0:1,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,FC Schalke 04,,Kuranyi,50,0:2,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,1. FC Nürnberg,,Mintal,88,1:2,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Eintracht Frankfurt,,Amanatidis,6,0:1,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Werder Bremen,,Özil,13,1:1,True,False,False
1. Bundesliga,2009/2010,1. Spieltag,Eintracht Frankfurt,,Amanatidis,42,1:2,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Werder Bremen,,Sanogo,44,2:2,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Eintracht Frankfurt,,Fenin,71,2:3,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Hertha BSC,,Kacar,82,1:0,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,1. FSV Mainz 05,,Hoogland,5,1:0,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Bayer Leverkusen,,Derdiyok,42,1:1,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Bayer Leverkusen,,Kießling,43,1:2,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,1. FSV Mainz 05,,Gunkel,82,2:2,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,FC Bayern München,,Olic,25,0:1,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,TSG 1899 Hoffenheim,,Obasi,42,1:1,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Borussia Mönchengladbach,,Arango,19,0:1,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Borussia Mönchengladbach,,Colautti,26,0:2,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Borussia Mönchengladbach,,Brouwers,41,0:3,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,VfL Bochum,,Azaouagh,51,1:3,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,VfL Bochum,,Azaouagh,52,2:3,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,VfL Bochum,,Sestak,63,3:3,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,Hamburger SV,,Pitroipa,3,0:1,False,False,False
1. Bundesliga,2009/2010,1. Spieltag,SC Freiburg,,Bechmann,65,1:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,Werder Bremen,,Özil,39,0:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,FC Bayern München,,Gomez,72,1:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,VfB Stuttgart,,Pogrebnijak,53,1:0,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,VfB Stuttgart,,Elson,65,2:0,True,False,False
1. Bundesliga,2009/2010,2. Spieltag,SC Freiburg,,Idrissou,70,2:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,VfB Stuttgart,,Elson,76,3:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,SC Freiburg,,Idrissou,85,3:2,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,VfB Stuttgart,,Schieber,89,4:2,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,Hamburger SV,,Demel,3,1:0,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,Borussia Dortmund,,Valdez,4,1:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,Hamburger SV,Ze,Roberto,10,2:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,Hamburger SV,,Guerrero,12,3:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,Hamburger SV,,Berg,71,4:1,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,Bayer Leverkusen,,Kießling,67,1:0,False,False,False
1. Bundesliga,2009/2010,2. Spieltag,1. FSV Mainz 05,,Bance,53,0:1,False,False,False
