League,Season,Team,Team_Short,Matches,Points,Won,Lost,Draw,Goals,Opponent_Goals,GoalDiff
3. Liga,2008/2009,1. FC Union Berlin,Union Berlin,38,78,22,4,12,59,23,36
3. Liga,2008/2009,Fortuna Düsseldorf,Düsseldorf,38,69,20,9,9,54,33,21
3. Liga,2008/2009,SC Paderborn 07,Paderborn,38,68,20,10,8,68,38,30
3. Liga,2008/2009,SpVgg Unterhaching,Unterhaching,38,67,20,11,7,57,46,11
3. Liga,2008/2009,FC Bayern München II,Bayern II,38,59,14,7,17,54,38,16
3. Liga,2008/2009,Kickers Emden,,38,59,16,11,11,45,44,1
3. Liga,2008/2009,Kickers Offenbach,,38,52,12,10,16,40,35,5
3. Liga,2008/2009,SV Sandhausen,Sandhausen,38,50,12,12,14,58,52,6
3. Liga,2008/2009,SG Dynamo Dresden,Dresden,38,50,13,14,11,46,46,0
3. Liga,2008/2009,FC Rot-Weiß Erfurt,Erfurt,38,50,13,14,11,46,48,-2
3. Liga,2008/2009,VfB Stuttgart II,Stuttgart II,38,49,13,15,10,61,50,11
3. Liga,2008/2009,Erzgebirge Aue,Aue,38,48,12,14,12,43,43,0
3. Liga,2008/2009,Eintracht Braunschweig,Braunschweig,38,45,12,17,9,46,51,-5
3. Liga,2008/2009,Wuppertaler SV,Wuppertal,38,45,11,15,12,36,45,-9
3. Liga,2008/2009,Jahn Regensburg,Regensburg,38,45,11,15,12,37,51,-14
3. Liga,2008/2009,FC Carl Zeiss Jena,Jena,38,41,10,17,11,41,59,-18
3. Liga,2008/2009,Werder Bremen II,Bremen II,38,40,10,18,10,49,58,-9
3. Liga,2008/2009,Wacker Burghausen,Burghausen,38,40,10,18,10,40,65,-25
3. Liga,2008/2009,VfR Aalen,Aalen,38,39,8,15,15,38,60,-22
3. Liga,2008/2009,Stuttgarter Kickers,,38,32,7,20,11,38,71,-33
3. Liga,2009/2010,VfL Osnabrück,Osnabrück,38,69,20,9,9,55,37,18
3. Liga,2009/2010,Erzgebirge Aue,Aue,38,68,20,10,8,57,41,16
3. Liga,2009/2010,FC Ingolstadt 04,Ingolstadt,38,64,18,10,10,72,46,26
3. Liga,2009/2010,Eintracht Braunschweig,Braunschweig,38,62,17,10,11,55,37,18
3. Liga,2009/2010,FC Carl Zeiss Jena,Jena,38,60,16,10,12,54,44,10
3. Liga,2009/2010,1. FC Heidenheim 1846,Heidenheim,38,59,17,13,8,66,56,10
3. Liga,2009/2010,Kickers Offenbach,,38,57,15,11,12,55,35,20
