League,Season,Match_Day,Team,Player_Firstname,Player_Surname,Match_Minute,Game_Score,is_Penalty,is_Own_Goal,is_Overtime
3. Liga,2009/2010,1. Spieltag,Jahn Regensburg,,Hagmann,53,1:0,False,False,False
3. Liga,2009/2010,1. Spieltag,Jahn Regensburg,,Stoilov,74,2:0,False,False,False
3. Liga,2009/2010,1. Spieltag,VfB Stuttgart II,,Vier,74,0:1,False,False,False
3. Liga,2009/2010,1. Spieltag,FC Carl Zeiss Jena,,Smeekes,49,1:0,False,False,False
3. Liga,2009/2010,1. Spieltag,FC Carl Zeiss Jena,,Smeekes,56,2:0,False,False,False
3. Liga,2009/2010,1. Spieltag,SV Wehen Wiesbaden,,Bohl,74,2:1,False,False,False
3. Liga,2009/2010,1. Spieltag,SpVgg Unterhaching,,Mitterhuber,4,1:0,False,False,False
3. Liga,2009/2010,1. Spieltag,SpVgg Unterhaching,T.,Schweinsteiger,32,2:0,True,False,False
3. Liga,2009/2010,1. Spieltag,SV Sandhausen,,Dorn,59,2:1,False,False,False
3. Liga,2009/2010,1. Spieltag,SpVgg Unterhaching,T.,Schweinsteiger,66,3:1,False,False,False
3. Liga,2009/2010,1. Spieltag,SV Sandhausen,,Dorn,68,3:2,False,False,False
3. Liga,2009/2010,1. Spieltag,SV Sandhausen,,Ristic,76,3:3,False,False,False
3. Liga,2009/2010,1. Spieltag,Eintracht Braunschweig,,Kruppke,82,1:0,True,False,False
3. Liga,2009/2010,1. Spieltag,Wacker Burghausen,,Holzer,42,1:0,False,False,False
3. Liga,2009/2010,1. Spieltag,Borussia Dortmund II,,Tyrala,66,1:1,False,False,False
3. Liga,2009/2010,1. Spieltag,Borussia Dortmund II,,Hille,69,1:2,False,False,False
3. Liga,2009/2010,1. Spieltag,Borussia Dortmund II,,Tyrala,74,1:3,False,False,False
3. Liga,2009/2010,1. Spieltag,Wacker Burghausen,,Holzer,75,2:3,False,False,False
3. Liga,2009/2010,1. Spieltag,Wacker Burghausen,,Cappek,82,3:3,False,False,False
3. Liga,2009/2010,1. Spieltag,Wacker Burghausen,,Holzer,90,4:3,False,False,False
3. Liga,2009/2010,1. Spieltag,1. FC Heidenheim 1846,,Göhlert,8,1:0,False,False,False
3. Liga,2009/2010,1. Spieltag,Wuppertaler SV,,Dressler,58,1:1,False,False,False
3. Liga,2009/2010,1. Spieltag,1. FC Heidenheim 1846,,Essig,75,2:1,True,False,False
3. Liga,2009/2010,1. Spieltag,Wuppertaler SV,,Damm,88,2:2,False,False,False
3. Liga,2009/2010,1. Spieltag,FC Ingolstadt 04,,Wenczel,4,1:0,False,False,False
3. Liga,2009/2010,1. Spieltag,FC Ingolstadt 04,,Hartmann,17,2:0,False,False,False
3. Liga,2009/2010,2. Spieltag,Erzgebirge Aue,,Braham,44,1:0,False,False,False
3. Liga,2009/2010,2. Spieltag,SG Dynamo Dresden,,Savran,12,0:1,False,False,False
3. Liga,2009/2010,2. Spieltag,VfL Osnabrück,,Heidrich,67,1:0,True,False,False
3. Liga,2009/2010,2. Spieltag,SpVgg Unterhaching,,Balkan,5,0:1,False,False,False
3. Liga,2009/2010,2. Spieltag,FC Bayern München II,,Sene,89,1:1,False,False,False
3. Liga,2009/2010,2. Spieltag,Kickers Offenbach,,Schutzbach,23,0:1,False,False,False
3. Liga,2009/2010,2. Spieltag,Kickers Offenbach,,Zinnow,81,0:2,False,False,False
3. Liga,2009/2010,2. Spieltag,SV Sandhausen,,Schuon,8,1:0,False,False,False
3. Liga,2009/2010,2. Spieltag,FC Carl Zeiss Jena,,Smeekes,19,1:1,False,False,False
3. Liga,2009/2010,2. Spieltag,FC Carl Zeiss Jena,,Riemer,33,1:2,False,False,False
3. Liga,2009/2010,2. Spieltag,SV Sandhausen,,Pinto,88,2:2,True,False,False
3. Liga,2009/2010,2. Spieltag,1. FC Heidenheim 1846,,Feistle,14,0:1,False,False,False
3. Liga,2009/2010,2. Spieltag,VfB Stuttgart II,,Didavi,71,1:1,False,False,False
3. Liga,2009/2010,2. Spieltag,Wuppertaler SV,,Fischer,25,1:0,True,False,False
3. Liga,2009/2010,2. Spieltag,Jahn Regensburg,,Maul,36,1:1,False,False,False
3. Liga,2009/2010,2. Spieltag,Wuppertaler SV,,Damm,48,2:1,False,False,False
3. Liga,2009/2010,2. Spieltag,Jahn Regensburg,,Zellner,67,2:2,False,False,False
3. Liga,2009/2010,2. Spieltag,Wacker Burghausen,,Ca,32,0:1,False,False,False
3. Liga,2009/2010,3. Spieltag,Werder Bremen II,,Oehrl,52,1:0,False,False,False
3. Liga,2009/2010,3. Spieltag,VfB Stuttgart II,,Schieber,27,0:1,False,False,False
3. Liga,2009/2010,3. Spieltag,VfB Stuttgart II,,Pischorn,62,0:2,False,False,False
3. Liga,2009/2010,3. Spieltag,VfB Stuttgart II,,Pischorn,84,0:3,False,False,False
3. Liga,2009/2010,3. Spieltag,Eintracht Braunschweig,,Calamita,15,1:0,False,False,False
